zip_code,etl_timestamp,POS,NEG
19106,2020-09-02 17:20:02,116,3260
19125,2020-09-02 17:20:02,347,5868
19111,2020-09-02 17:20:02,1502,9088
19141,2020-09-02 17:20:02,735,5269
19144,2020-09-02 17:20:02,1016,8649
19109,2020-09-02 17:20:02,NA,10
19138,2020-09-02 17:20:02,755,5431
19146,2020-09-02 17:20:02,718,11090
19127,2020-09-02 17:20:02,54,1227
19114,2020-09-02 17:20:02,618,3474
19197,2020-09-02 17:20:02,NA,16
19192,2020-09-02 17:20:02,NA,6
19130,2020-09-02 17:20:02,427,7983
19103,2020-09-02 17:20:02,286,6127
19108,2020-09-02 17:20:02,NA,15
19120,2020-09-02 17:20:02,1713,9509
19116,2020-09-02 17:20:02,826,3910
19134,2020-09-02 17:20:02,1137,8955
19143,2020-09-02 17:20:02,1501,14628
19101,2020-09-02 17:20:02,38,113
19104,2020-09-02 17:20:02,797,9659
19115,2020-09-02 17:20:02,979,4598
19110,2020-09-02 17:20:02,NA,15
19126,2020-09-02 17:20:02,617,3286
19129,2020-09-02 17:20:02,155,2648
19119,2020-09-02 17:20:02,596,6406
19121,2020-09-02 17:20:02,760,6725
19140,2020-09-02 17:20:02,1439,10008
19133,2020-09-02 17:20:02,699,4528
19152,2020-09-02 17:20:02,888,4568
19145,2020-09-02 17:20:02,953,10388
19150,2020-09-02 17:20:02,565,4316
19124,2020-09-02 17:20:02,1562,8965
19142,2020-09-02 17:20:02,812,4513
19131,2020-09-02 17:20:02,1188,9157
19122,2020-09-02 17:20:02,442,4874
19147,2020-09-02 17:20:02,487,9466
19148,2020-09-02 17:20:02,1085,10558
19123,2020-09-02 17:20:02,414,4575
19136,2020-09-02 17:20:02,1186,11070
19139,2020-09-02 17:20:02,1108,9877
19118,2020-09-02 17:20:02,194,2279
19155,2020-09-02 17:20:02,NA,7
19137,2020-09-02 17:20:02,107,1169
19153,2020-09-02 17:20:02,275,1929
19161,2020-09-02 17:20:02,NA,6
19107,2020-09-02 17:20:02,288,3990
19102,2020-09-02 17:20:02,71,1530
19151,2020-09-02 17:20:02,814,5098
19149,2020-09-02 17:20:02,1186,5923
19128,2020-09-02 17:20:02,491,6429
19132,2020-09-02 17:20:02,822,6537
19154,2020-09-02 17:20:02,691,4802
19135,2020-09-02 17:20:02,671,4326
19160,2020-09-02 17:20:02,NA,7
19113,2020-09-02 17:20:02,NA,28
19105,2020-09-02 17:20:02,NA,48
