zip_code,etl_timestamp,NEG,POS
19140,2020-10-19 17:20:02,14051,1693
19127,2020-10-19 17:20:02,2408,85
19133,2020-10-19 17:20:02,6407,867
19146,2020-10-19 17:20:02,17237,848
19138,2020-10-19 17:20:02,7684,872
19152,2020-10-19 17:20:02,7217,1133
19115,2020-10-19 17:20:02,7106,1158
19144,2020-10-19 17:20:02,12513,1170
19141,2020-10-19 17:20:02,7448,841
19145,2020-10-19 17:20:02,15561,1235
19150,2020-10-19 17:20:02,5950,639
19125,2020-10-19 17:20:02,9425,461
19124,2020-10-19 17:20:02,13139,1899
19142,2020-10-19 17:20:02,6478,908
19131,2020-10-19 17:20:02,14578,1343
19122,2020-10-19 17:20:02,8290,734
19130,2020-10-19 17:20:02,12593,562
19147,2020-10-19 17:20:02,15050,606
19148,2020-10-19 17:20:02,15896,1340
19123,2020-10-19 17:20:02,7485,469
19136,2020-10-19 17:20:02,14577,1344
19139,2020-10-19 17:20:02,14899,1225
19118,2020-10-19 17:20:02,3534,221
19155,2020-10-19 17:20:02,11,NA
19137,2020-10-19 17:20:02,1677,130
19153,2020-10-19 17:20:02,2808,310
19161,2020-10-19 17:20:02,7,NA
19107,2020-10-19 17:20:02,6100,349
19102,2020-10-19 17:20:02,2587,89
19151,2020-10-19 17:20:02,7752,908
19149,2020-10-19 17:20:02,8893,1446
19129,2020-10-19 17:20:02,4105,231
19128,2020-10-19 17:20:02,10589,600
19132,2020-10-19 17:20:02,9219,894
19154,2020-10-19 17:20:02,6968,820
19121,2020-10-19 17:20:02,11282,1061
19134,2020-10-19 17:20:02,14235,1417
19119,2020-10-19 17:20:02,9747,648
19135,2020-10-19 17:20:02,6348,816
19116,2020-10-19 17:20:02,6215,994
19126,2020-10-19 17:20:02,4950,667
19160,2020-10-19 17:20:02,9,NA
19113,2020-10-19 17:20:02,38,NA
19104,2020-10-19 17:20:02,15885,979
19101,2020-10-19 17:20:02,163,40
19114,2020-10-19 17:20:02,5265,740
19103,2020-10-19 17:20:02,10220,354
19105,2020-10-19 17:20:02,71,NA
19111,2020-10-19 17:20:02,13392,1875
19106,2020-10-19 17:20:02,5452,149
19109,2020-10-19 17:20:02,13,NA
19197,2020-10-19 17:20:02,8,NA
19192,2020-10-19 17:20:02,8,NA
19108,2020-10-19 17:20:02,21,NA
19120,2020-10-19 17:20:02,13920,1976
19143,2020-10-19 17:20:02,21588,1642
19110,2020-10-19 17:20:02,25,NA
